series_id,date,fips_code,area_text,value
LAUMT363562000000003,2024-07-01,36356,"New York-Newark-Jersey City, NY-NJ-PA",5.3
LAUMT423798000000003,2024-07-01,42379,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4.4
LAUMT423830000000003,2024-07-01,42383,"Pittsburgh, PA",4
LAUMT114790000000003,2024-07-01,11479,"Washington-Arlington-Alexandria, DC-VA-MD-WV",3.5
LAUMT241258000000003,2024-07-01,24125,"Baltimore-Columbia-Towson, MD",3.4
LAUMT363562000000003,2024-06-01,36356,"New York-Newark-Jersey City, NY-NJ-PA",4.6
LAUMT423798000000003,2024-06-01,42379,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4
LAUMT423830000000003,2024-06-01,42383,"Pittsburgh, PA",3.7
LAUMT114790000000003,2024-06-01,11479,"Washington-Arlington-Alexandria, DC-VA-MD-WV",3.3
LAUMT241258000000003,2024-06-01,24125,"Baltimore-Columbia-Towson, MD",3.2
LAUMT363562000000003,2024-05-01,36356,"New York-Newark-Jersey City, NY-NJ-PA",4.4
LAUMT423798000000003,2024-05-01,42379,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",3.6
LAUMT423830000000003,2024-05-01,42383,"Pittsburgh, PA",3.2
LAUMT114790000000003,2024-05-01,11479,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2.7
LAUMT241258000000003,2024-05-01,24125,"Baltimore-Columbia-Towson, MD",2.4
LAUMT363562000000003,2024-04-01,36356,"New York-Newark-Jersey City, NY-NJ-PA",4
LAUMT423798000000003,2024-04-01,42379,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",3.2
LAUMT423830000000003,2024-04-01,42383,"Pittsburgh, PA",2.9
LAUMT241258000000003,2024-04-01,24125,"Baltimore-Columbia-Towson, MD",2.7
LAUMT114790000000003,2024-04-01,11479,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2.6
LAUMT363562000000003,2024-03-01,36356,"New York-Newark-Jersey City, NY-NJ-PA",4.3
LAUMT423798000000003,2024-03-01,42379,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",3.7
LAUMT423830000000003,2024-03-01,42383,"Pittsburgh, PA",3.4
LAUMT241258000000003,2024-03-01,24125,"Baltimore-Columbia-Towson, MD",2.9
LAUMT114790000000003,2024-03-01,11479,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2.8
LAUMT363562000000003,2024-02-01,36356,"New York-Newark-Jersey City, NY-NJ-PA",4.6
LAUMT423798000000003,2024-02-01,42379,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",3.9
LAUMT423830000000003,2024-02-01,42383,"Pittsburgh, PA",3.7
LAUMT114790000000003,2024-02-01,11479,"Washington-Arlington-Alexandria, DC-VA-MD-WV",3
LAUMT241258000000003,2024-02-01,24125,"Baltimore-Columbia-Towson, MD",2.9
LAUMT363562000000003,2024-01-01,36356,"New York-Newark-Jersey City, NY-NJ-PA",4.5
LAUMT423798000000003,2024-01-01,42379,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",3.8
LAUMT423830000000003,2024-01-01,42383,"Pittsburgh, PA",3.5
LAUMT114790000000003,2024-01-01,11479,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2.8
LAUMT241258000000003,2024-01-01,24125,"Baltimore-Columbia-Towson, MD",2.8
LAUMT363562000000003,2023-12-01,36356,"New York-Newark-Jersey City, NY-NJ-PA",4.5
LAUMT423798000000003,2023-12-01,42379,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",3.3
LAUMT423830000000003,2023-12-01,42383,"Pittsburgh, PA",2.9
LAUMT114790000000003,2023-12-01,11479,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2.5
LAUMT241258000000003,2023-12-01,24125,"Baltimore-Columbia-Towson, MD",2.1
LAUMT363562000000003,2023-11-01,36356,"New York-Newark-Jersey City, NY-NJ-PA",4.3
LAUMT423798000000003,2023-11-01,42379,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",3.3
LAUMT423830000000003,2023-11-01,42383,"Pittsburgh, PA",2.8
LAUMT114790000000003,2023-11-01,11479,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2.6
LAUMT241258000000003,2023-11-01,24125,"Baltimore-Columbia-Towson, MD",2.1
LAUMT363562000000003,2023-10-01,36356,"New York-Newark-Jersey City, NY-NJ-PA",4.6
LAUMT423798000000003,2023-10-01,42379,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",3.5
LAUMT423830000000003,2023-10-01,42383,"Pittsburgh, PA",3
LAUMT114790000000003,2023-10-01,11479,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2.8
LAUMT241258000000003,2023-10-01,24125,"Baltimore-Columbia-Towson, MD",2.3
