series_id,date,fips_code,area_text,value
LAUCN340330000000003,2024-07-01,34033,"Salem County, NJ",6.8
LAUCN340070000000003,2024-07-01,34007,"Camden County, NJ",5.9
LAUCN340150000000003,2024-07-01,34015,"Gloucester County, NJ",5.3
LAUCN421010000000003,2024-07-01,42101,"Philadelphia County, PA",5.1
LAUCN340050000000003,2024-07-01,34005,"Burlington County, NJ",4.9
LAUCN100030000000003,2024-07-01,10003,"New Castle County, DE",4.8
LAUCN420450000000003,2024-07-01,42045,"Delaware County, PA",3.8
LAUCN240150000000003,2024-07-01,24015,"Cecil County, MD",3.5
LAUCN420170000000003,2024-07-01,42017,"Bucks County, PA",3.5
LAUCN420910000000003,2024-07-01,42091,"Montgomery County, PA",3.3
LAUCN420290000000003,2024-07-01,42029,"Chester County, PA",3.1
LAUCN340330000000003,2024-06-01,34033,"Salem County, NJ",5.8
LAUCN340070000000003,2024-06-01,34007,"Camden County, NJ",5.1
LAUCN421010000000003,2024-06-01,42101,"Philadelphia County, PA",4.7
LAUCN100030000000003,2024-06-01,10003,"New Castle County, DE",4.6
LAUCN340150000000003,2024-06-01,34015,"Gloucester County, NJ",4.6
LAUCN340050000000003,2024-06-01,34005,"Burlington County, NJ",4.2
LAUCN420450000000003,2024-06-01,42045,"Delaware County, PA",3.5
LAUCN420170000000003,2024-06-01,42017,"Bucks County, PA",3.2
LAUCN240150000000003,2024-06-01,24015,"Cecil County, MD",3.1
LAUCN420910000000003,2024-06-01,42091,"Montgomery County, PA",3
LAUCN420290000000003,2024-06-01,42029,"Chester County, PA",2.9
LAUCN340330000000003,2024-05-01,34033,"Salem County, NJ",5.5
LAUCN340070000000003,2024-05-01,34007,"Camden County, NJ",4.8
LAUCN340150000000003,2024-05-01,34015,"Gloucester County, NJ",4.3
LAUCN421010000000003,2024-05-01,42101,"Philadelphia County, PA",4.3
LAUCN340050000000003,2024-05-01,34005,"Burlington County, NJ",4
LAUCN100030000000003,2024-05-01,10003,"New Castle County, DE",3.8
LAUCN420450000000003,2024-05-01,42045,"Delaware County, PA",3.2
LAUCN420170000000003,2024-05-01,42017,"Bucks County, PA",2.9
LAUCN420910000000003,2024-05-01,42091,"Montgomery County, PA",2.7
LAUCN420290000000003,2024-05-01,42029,"Chester County, PA",2.5
LAUCN240150000000003,2024-05-01,24015,"Cecil County, MD",2.2
LAUCN340330000000003,2024-04-01,34033,"Salem County, NJ",5.1
LAUCN340070000000003,2024-04-01,34007,"Camden County, NJ",4.4
LAUCN340150000000003,2024-04-01,34015,"Gloucester County, NJ",3.9
LAUCN421010000000003,2024-04-01,42101,"Philadelphia County, PA",3.8
LAUCN100030000000003,2024-04-01,10003,"New Castle County, DE",3.6
LAUCN340050000000003,2024-04-01,34005,"Burlington County, NJ",3.6
LAUCN240150000000003,2024-04-01,24015,"Cecil County, MD",2.7
LAUCN420450000000003,2024-04-01,42045,"Delaware County, PA",2.7
LAUCN420170000000003,2024-04-01,42017,"Bucks County, PA",2.6
LAUCN420910000000003,2024-04-01,42091,"Montgomery County, PA",2.3
