date,"Salem County, NJ","Camden County, NJ","Gloucester County, NJ","Philadelphia County, PA","Burlington County, NJ","New Castle County, DE","Delaware County, PA","Cecil County, MD","Bucks County, PA","Montgomery County, PA","Chester County, PA"
2024-07-01,6.8,5.9,5.3,5.1,4.9,4.8,3.8,3.5,3.5,3.3,3.1
2024-06-01,5.8,5.1,4.6,4.7,4.2,4.6,3.5,3.1,3.2,3,2.9
2024-05-01,5.5,4.8,4.3,4.3,4,3.8,3.2,2.2,2.9,2.7,2.5
2024-04-01,5.1,4.4,3.9,3.8,3.6,3.6,2.7,2.7,2.6,2.3,2.1
2024-03-01,5.9,5,4.5,4.2,4.2,3.8,3.2,2.9,3,2.7,2.6
2024-02-01,6.4,5.4,5,4.5,4.4,3.8,3.3,2.9,3.2,3,2.7
2024-01-01,6.6,5.5,5.1,4.3,4.5,3.9,3.2,3,3.1,2.8,2.5
2023-12-01,6,5,4.5,3.7,4,3.5,2.7,2.1,2.6,2.4,2.1
2023-11-01,5.4,4.7,4.2,3.8,3.8,3.4,2.7,2.2,2.6,2.4,2.2
2023-10-01,5.3,4.8,4.2,4.2,4,3.9,3,2.3,2.8,2.7,2.4
2023-09-01,5.4,4.9,4.3,4.1,4,3.9,2.9,2.1,2.8,2.6,2.3
2023-08-01,5.9,5.4,4.8,5.2,4.4,4.4,4,2.5,3.7,3.5,3.3
2023-07-01,5.8,5.3,4.8,4.6,4.4,4.1,3.5,2.3,3.2,3,2.9
