date,fips_code,area_text,value
2024-07-01,42029,"Chester County, PA",3.1
2024-07-01,42091,"Montgomery County, PA",3.3
2024-07-01,24015,"Cecil County, MD",3.5
2024-07-01,42017,"Bucks County, PA",3.5
2024-07-01,42045,"Delaware County, PA",3.8
2024-07-01,10003,"New Castle County, DE",4.8
2024-07-01,34005,"Burlington County, NJ",4.9
2024-07-01,42101,"Philadelphia County, PA",5.1
2024-07-01,34015,"Gloucester County, NJ",5.3
2024-07-01,34007,"Camden County, NJ",5.9
2024-07-01,34033,"Salem County, NJ",6.8
