date,industry_name,yoy_chg,change_direction
2024-07-01,Private Education and Health Services,4.915180513266626,Increase
2024-07-01,Leisure and Hospitality,4.6945115636865875,Increase
2024-07-01,Government,2.788220551378462,Increase
2024-07-01,Service-Providing,2.3657009753967007,Increase
2024-07-01,Private Service Providing,2.310163070334381,Increase
2024-07-01,Total Nonfarm,2.1646012490599276,Increase
2024-07-01,Total Private,2.0919280055492706,Increase
2024-07-01,Other Services,2.0900321543408262,Increase
2024-07-01,"Mining, Logging and Construction",1.9592476489028288,Increase
2024-07-01,Professional and Business Services,1.1653606590315446,Increase
2024-07-01,"Transportation, Warehousing, and Utilities",1.015965166908539,Increase
2024-07-01,Financial Activities,0.9090909090909038,Increase
2024-07-01,Goods Producing,0.3862246540070835,Increase
2024-07-01,Wholesale Trade,0.1640689089417391,Increase
2024-07-01,"Trade, Transportation, and Utilities",-0.2581120943952797,Decrease
2024-07-01,Durable Goods,-0.5347593582887722,Decrease
2024-07-01,Manufacturing,-0.7099945385035444,Decrease
2024-07-01,Non-Durable Goods,-0.8928571428571397,Decrease
2024-07-01,Information,-0.9345794392523366,Decrease
2024-07-01,Retail Trade,-1.0611956137247969,Decrease
